Category:,Brief Description:,Extended Description:,,,,Data: ,Data: ,Data: ,In Reference Data Location:,Reference Name:,Reference URL:
Category,Name,Description,CVD,Temp,Pres,H2,CO2,N2,,,
,,,hours,(°C),(bar),(mol/(sqm.s.Pa)),(mol/(sqm.s.Pa)),(mol/(sqm.s.Pa)),,,
CVD,CVD Si,(T=200°C),,200,,1.00E-07,,1.03E-09,300C CVD (figure 2),Nomura 2005,
CVD,CVD Si,(T=300°C),,300,,1.11E-07,,1.44E-09,300C CVD (figure 2),Nomura 2005,
CVD,CVD Si,(T=400°C),,400,,1.16E-07,,2.48E-09,300C CVD (figure 2),Nomura 2005,
CVD,CVD Si,(T=100°C),,100,,3.04E-08,,9.30E-12,400C CVD (figure 2),Nomura 2005,
CVD,CVD Si,(T=200°C),,200,,6.40E-08,,3.34E-11,400C CVD (figure 2),Nomura 2005,
CVD,CVD Si,(T=300°C),,300,,8.68E-08,,7.09E-11,400C CVD (figure 2),Nomura 2005,
CVD,CVD Si,(T=100°C),,100,,4.03E-08,,8.64E-09,500C thermal decomp (figure 3),Nomura 2005,
CVD,CVD Si,(T=300°C),,300,,5.01E-08,,8.85E-09,500C thermal decomp (figure 3),Nomura 2005,
CVD,CVD Si,(T=500°C),,500,,5.55E-08,,1.01E-08,500C thermal decomp (figure 3),Nomura 2005,
CVD,CVD Si,(T=100°C),,100,,3.00E-08,,5.57E-12,500C counter O2 (figure 3),Nomura 2005,
CVD,CVD Si,(T=300°C),,300,,9.04E-08,,3.70E-11,500C counter O2 (figure 3),Nomura 2005,
CVD,CVD Si,(T=500°C),,500,,1.59E-07,,2.36E-10,500C counter O2 (figure 3),Nomura 2005,
CVD,CVD Si,(T=100°C),,100,,8.64E-09,,3.21E-12,500C counter O3 (figure 3),Nomura 2005,
CVD,CVD Si,(T=300°C),,300,,4.89E-08,,6.43E-12,500C counter O3 (figure 3),Nomura 2005,
CVD,CVD Si,(T=500°C),,500,,9.63E-08,,4.30E-11,500C counter O3 (figure 3),Nomura 2005,
CVD,CVD Si," (T=500°C, t=1h)",1.00,500,,2.30E-07,,4.54E-09,500C CVD (figure 5),Nomura 2005,
CVD,CVD Si," (T=500°C, t=2h)",2.00,500,,1.70E-07,,2.02E-09,500C CVD (figure 5),Nomura 2005,
CVD,CVD Si," (T=500°C, t=3h)",3.00,500,,1.39E-07,,4.54E-10,500C CVD (figure 5),Nomura 2005,
CVD,CVD Si," (T=500°C, t=4h)",4.00,500,,1.26E-07,,1.02E-10,500C CVD (figure 5),Nomura 2005,
CVD,CVD Si," (T=500°C, t=5h)",5.00,500,,8.05E-08,,6.15E-10,500C CVD (figure 5),Nomura 2005,
CVD,CVD Si," (T=500°C, t=6h)",6.00,500,,7.84E-08,,3.07E-10,500C CVD (figure 5),Nomura 2005,
CVD,CVD Si," (T=600°C, t=1h)",1.00,600,,1.49E-07,,1.40E-10,600C CVD (figure 5),Nomura 2005,
CVD,CVD Si," (T=600°C, t=2h)",2.00,600,,9.01E-08,,7.71E-11,600C CVD (figure 5),Nomura 2005,
CVD,CVD Si,(T=100°C),,100,,3.19E-08,,5.51E-12,500C before air (figure 7),Nomura 2005,
CVD,CVD Si,(T=300°C),,300,,9.93E-08,,3.21E-11,500C before air (figure 7),Nomura 2005,
CVD,CVD Si,(T=500°C),,500,,1.61E-07,,2.26E-10,500C before air (figure 7),Nomura 2005,
CVD,CVD Si,(T=100°C),,100,,7.18E-09,,1.81E-11,500C after air (figure 7),Nomura 2005,
CVD,CVD Si,(T=300°C),,300,,5.52E-08,,3.42E-11,500C after air (figure 7),Nomura 2005,
CVD,CVD Si,(T=450°C),,450,,1.39E-07,,5.94E-09,500C after air (figure 7),Nomura 2005,
CVD,CVD Si,(T=100°C),,100,,1.85E-09,,4.82E-11,600C before air (figure 9),Nomura 2005,
CVD,CVD Si,(T=300°C),,300,,2.30E-08,,2.90E-11,600C before air (figure 9),Nomura 2005,
CVD,CVD Si,(T=550°C),,550,,9.04E-08,,7.35E-11,600C before air (figure 9),Nomura 2005,
CVD,CVD Si,(T=100°C),,100,,1.45E-09,,1.12E-10,600C after air (figure 9),Nomura 2005,
CVD,CVD Si,(T=300°C),,300,,1.61E-08,,8.69E-11,600C after air (figure 9),Nomura 2005,
CVD,CVD Si,(T=500°C),,500,,5.70E-08,,8.35E-11,600C after air (figure 9),Nomura 2005,
CVD,CVD Si,(T=600°C),,600,,5.73E-08,,6.90E-11,600C before 3.3kPa steam (figure 10a),Nomura 2005,
CVD,CVD Si,(T=600°C),,600,,4.93E-08,,5.66E-11,600C after 3.3kPa steam (figure 10a),Nomura 2005,
CVD,CVD Si,(T=600°C),,600,,4.99E-08,,5.50E-11,600C before 76kPa steam (figure 10b),Nomura 2005,
CVD,CVD Si,(T=600°C),,600,,3.69E-08,,4.14E-11,600C after 76kPa steam (figure 10b),Nomura 2005,
CVD,CVD Si,(T=500°C),,500,,6.81E-08,,1.66E-10,before steam  (figure 2),Nomura 2006,
CVD,CVD Si,(T=500°C),,500,,4.79E-08,,1.47E-10,after steam (figure 2),Nomura 2006,
CVD,CVD Si,(T=100°C),,100,,3.16E-08,,5.45E-12,(figure 5),Nomura 2006,
CVD,CVD Si,(T=300°C),,300,,9.16E-08,,3.63E-11,(figure 5),Nomura 2006,
CVD,CVD Si,(T=500°C),,500,,1.60E-07,,2.36E-10,(figure 5),Nomura 2006,
CVD,CVD Si,(T=100°C),,100,,1.77E-09,,5.08E-11,(figure 5),Nomura 2006,
CVD,CVD Si,(T=300°C),,300,,2.28E-08,,3.10E-11,(figure 5),Nomura 2006,
CVD,CVD Si,(T=500°C),,500,,7.34E-08,,8.16E-11,(figure 5),Nomura 2006,
CVD,CVD Si,(T=600°C),,600,,8.69E-08,,7.50E-11,(figure 5),Nomura 2006,
CVD,CVD Si,(T=500°C),,500,,6.99E-06,,2.10E-06,before steam  (figure 6),Nomura 2006,
CVD,CVD Si,(T=500°C),,500,,8.73E-06,,2.50E-06,after steam (figure 6),Nomura 2006,
CVD,CVD Si,(T=500°C),,500,,6.71E-08,,1.67E-10,before steam  (figure 8),Nomura 2006,
CVD,CVD Si,(T=500°C),,500,,5.60E-09,,1.02E-10,after steam (figure 8),Nomura 2006,
CVD,CVD Si,(T=600°C),,600,,5.39E-08,,8.18E-11,2h steamed before steam (figure 9),Nomura 2006,
CVD,CVD Si,(T=600°C),,600,,2.82E-08,,9.83E-11,2h steamed before steam (figure 9),Nomura 2006,
CVD,CVD Si,(T=600°C),,600,,2.43E-08,,2.28E-10,7h steamed before steam (figure 9),Nomura 2006,
CVD,CVD Si,(T=600°C),,600,,1.94E-08,,2.37E-10,7h steamed before steam (figure 9),Nomura 2006,
CVD,CVD Si,(T=600°C),,600,,5.60E-09,,9.83E-11,24h steamed before steam (figure 9),Nomura 2006,
CVD,CVD Si,(T=600°C),,600,,5.68E-09,,4.78E-10,24h steamed before steam (figure 9),Nomura 2006,
CVD,CVD Si,(T=40°C),,40,,1.58E-10,3.52E-12,1.50E-11,(figure 3),Nomura 2006 1,
CVD,CVD Si,(T=300°C),,300,,6.37E-09,2.34E-12,1.40E-11,(figure 3),Nomura 2006 1,
CVD,CVD Si,(T=600°C),,600,,4.37E-08,6.29E-12,1.37E-11,(figure 3),Nomura 2006 1,
sol-gel: Templated,sol-gel Templated," by dip coating (T=200°C, P=0.6bar)",,200,0.6,4.61E-06,9.65E-07,,Si(Brij) (figure 6),Pakizeh 2007,
sol-gel: Templated,sol-gel Templated," by dip coating (T=250°C, P=0.6bar)",,250,0.6,4.56E-06,9.41E-07,,Si(Brij) (figure 6),Pakizeh 2007,
sol-gel: Templated,sol-gel Templated," by dip coating (T=300°C, P=0.6bar)",,300,0.6,4.51E-06,9.41E-07,,Si(Brij) (figure 6),Pakizeh 2007,
sol-gel: Templated,sol-gel Templated," by dip coating (T=350°C, P=0.6bar)",,350,0.6,4.48E-06,9.24E-07,,Si(Brij) (figure 6),Pakizeh 2007,
sol-gel: Templated,sol-gel Templated," by dip coating (T=400°C, P=0.6bar)",,400,0.6,4.46E-06,8.94E-07,,Si(Brij) (figure 6),Pakizeh 2007,
sol-gel: Templated,sol-gel Templated," by dip coating (T=400°C, P=1.3bar)",,400,1.3,2.09E-06,1.35E-07,,"Si(TF) (figure 10,11)",Pakizeh 2007,
sol-gel: Templated,sol-gel Templated," by dip coating (T=200°C, P=1.3bar)",,200,1.3,3.77E-06,9.03E-08,,"Si(CPB) (figure 10,11)",Pakizeh 2007,
sol-gel: Templated,sol-gel Templated," by dip coating (T=250°C, P=1.3bar)",,250,1.3,3.97E-06,1.01E-07,,"Si(CPB) (figure 10,11)",Pakizeh 2007,
sol-gel: Templated,sol-gel Templated," by dip coating (T=300°C, P=1.3bar)",,300,1.3,4.06E-06,1.09E-07,,"Si(CPB) (figure 10,11)",Pakizeh 2007,
sol-gel: Templated,sol-gel Templated," by dip coating (T=350°C, P=1.3bar)",,350,1.3,4.14E-06,1.15E-07,,"Si(CPB) (figure 10,11)",Pakizeh 2007,
sol-gel: Templated,sol-gel Templated," by dip coating (T=400°C, P=1.3bar)",,400,1.3,4.20E-06,1.20E-07,,"Si(CPB) (figure 10,11)",Pakizeh 2007,
CVD,CVD Si,by Nanosil (T=200°C),,200,,1.41E-08,2.11E-12,,600C CVD (table 6),Prabhu 2000,
CVD,CVD Si,by Nanosil (T=300°C),,300,,1.55E-08,2.10E-12,,600C CVD (table 6),Prabhu 2000,
CVD,CVD Si,by Nanosil (T=400°C),,400,,1.68E-08,2.07E-12,,600C CVD (table 6),Prabhu 2000,
CVD,CVD Si,by Nanosil (T=500°C),,500,,1.70E-08,2.07E-12,,600C CVD (table 6),Prabhu 2000,
CVD,CVD Si,by Nanosil (T=600°C),,600,,1.77E-08,2.43E-12,,600C CVD (table 6),Prabhu 2000,
CVD,CVD Si," (T=20°C, P=2bar)",,20,2,3.73E-06,9.64E-07,1.19E-06,"(figure 4,5,6)",Richard 2001,
CVD,CVD Si," (T=40°C, P=2bar)",,40,2,2.88E-06,7.42E-07,8.78E-07,"(figure 4,5,6)",Richard 2001,
CVD,CVD Si," (T=80°C, P=2bar)",,80,2,2.34E-06,6.29E-07,7.35E-07,"(figure 4,5,6)",Richard 2001,
CVD,CVD Si," (T=120°C, P=2bar)",,120,2,2.20E-06,6.17E-07,7.35E-07,"(figure 4,5,6)",Richard 2001,
CVD,CVD Si," (T=160°C, P=2bar)",,160,2,1.91E-06,5.25E-07,6.29E-07,"(figure 4,5,6)",Richard 2001,
CVD,CVD Si," (T=200°C, P=2bar)",,200,2,1.84E-06,4.87E-07,5.87E-07,"(figure 4,5,6)",Richard 2001,
CVD,CVD Si," (T=20°C, P=4bar)",,20,4,3.41E-06,9.64E-07,1.11E-06,"(figure 4,5,6)",Richard 2001,
CVD,CVD Si," (T=40°C, P=4bar)",,40,4,2.66E-06,7.95E-07,8.81E-07,"(figure 4,5,6)",Richard 2001,
CVD,CVD Si," (T=80°C, P=4bar)",,80,4,2.43E-06,6.73E-07,7.91E-07,"(figure 4,5,6)",Richard 2001,
CVD,CVD Si," (T=120°C, P=4bar)",,120,4,2.26E-06,6.42E-07,7.66E-07,"(figure 4,5,6)",Richard 2001,
CVD,CVD Si," (T=160°C, P=4bar)",,160,4,1.95E-06,5.61E-07,6.53E-07,"(figure 4,5,6)",Richard 2001,
CVD,CVD Si," (T=200°C, P=4bar)",,200,4,1.87E-06,5.13E-07,6.17E-07,"(figure 4,5,6)",Richard 2001,
CVD,CVD Si," (T=20°C, P=6bar)",,20,6,3.37E-06,1.01E-06,1.13E-06,"(figure 4,5,6)",Richard 2001,
CVD,CVD Si," (T=40°C, P=6bar)",,40,6,2.69E-06,8.52E-07,9.43E-07,"(figure 4,5,6)",Richard 2001,
CVD,CVD Si," (T=80°C, P=6bar)",,80,6,2.38E-06,7.45E-07,8.25E-07,"(figure 4,5,6)",Richard 2001,
CVD,CVD Si," (T=120°C, P=6bar)",,120,6,2.30E-06,6.80E-07,7.89E-07,"(figure 4,5,6)",Richard 2001,
CVD,CVD Si," (T=160°C, P=6bar)",,160,6,1.99E-06,6.01E-07,6.85E-07,"(figure 4,5,6)",Richard 2001,
CVD,CVD Si," (T=200°C, P=6bar)",,200,6,1.88E-06,5.57E-07,6.48E-07,"(figure 4,5,6)",Richard 2001,
CVD,CVD Si," (T=20°C, P=8bar)",,20,8,3.22E-06,1.04E-06,,"(figure 4,5,6)",Richard 2001,
CVD,CVD Si," (T=40°C, P=8bar)",,40,8,2.73E-06,9.20E-07,,"(figure 4,5,6)",Richard 2001,
CVD,CVD Si," (T=80°C, P=8bar)",,80,8,2.51E-06,8.20E-07,,"(figure 4,5,6)",Richard 2001,
CVD,CVD Si," (T=120°C, P=8bar)",,120,8,2.37E-06,7.39E-07,,"(figure 4,5,6)",Richard 2001,
CVD,CVD Si," (T=160°C, P=8bar)",,160,8,2.07E-06,6.49E-07,,"(figure 4,5,6)",Richard 2001,
CVD,CVD Si," (T=200°C, P=8bar)",,200,8,1.94E-06,5.81E-07,,"(figure 4,5,6)",Richard 2001,
CVD,CVD Si," (T=30°C, P=0.002bar)",,30,0.002,2.77E-08,2.25E-09,2.93E-09,TEOS (figure 6),Sea 1997,
CVD,CVD Si," (T=200°C, P=0.002bar)",,200,0.002,8.67E-08,2.09E-09,2.93E-09,TEOS (figure 6),Sea 1997,
CVD,CVD Si," (T=400°C, P=0.002bar)",,400,0.002,2.08E-07,1.97E-09,2.46E-09,TEOS (figure 6),Sea 1997,
CVD,CVD Si," (T=30°C, P=0.0005bar)",,30,0.0005,4.20E-09,3.60E-10,5.00E-10,TEOS (table 2),Sea 1997,
CVD,CVD Si," (T=200°C, P=0.0005bar)",,200,0.0005,2.20E-08,3.30E-10,5.00E-10,TEOS (table 2),Sea 1997,
CVD,CVD Si," (T=400°C, P=0.0005bar)",,400,0.0005,5.83E-08,3.22E-10,5.08E-10,TEOS (figure 6),Sea 1997,
CVD,CVD Si," (T=30°C, P=0.0002bar)",,30,0.0002,1.00E-09,1.83E-11,3.46E-11,TEOS (figure 6),Sea 1997,
CVD,CVD Si," (T=200°C, P=0.0002bar)",,200,0.0002,5.86E-09,1.88E-11,3.24E-11,TEOS (figure 6),Sea 1997,
CVD,CVD Si," (T=400°C, P=0.0002bar)",,400,0.0002,2.09E-08,1.88E-11,2.98E-11,TEOS (figure 6),Sea 1997,
CVD,CVD Si," (T=30°C, P=0.002bar)",,30,0.002,3.65E-08,1.12E-08,6.53E-09,PTES (figure 8),Sea 1997,
CVD,CVD Si," (T=200°C, P=0.002bar)",,200,0.002,1.60E-07,1.23E-08,7.52E-09,PTES (figure 8),Sea 1997,
CVD,CVD Si," (T=400°C, P=0.002bar)",,400,0.002,2.62E-07,1.23E-08,7.52E-09,PTES (figure 8),Sea 1997,
CVD,CVD Si," (T=30°C, P=0.0008bar)",,30,0.0008,9.40E-09,8.00E-09,1.60E-09,PTES (table 2),Sea 1997,
CVD,CVD Si," (T=200°C, P=0.0008bar)",,200,0.0008,5.70E-08,1.00E-08,1.70E-09,PTES (table 2),Sea 1997,
CVD,CVD Si," (T=400°C, P=0.0008bar)",,400,0.0008,2.09E-07,1.07E-08,1.63E-09,PTES (figure 8),Sea 1997,
CVD,CVD Si," (T=30°C, P=0.005bar)",,30,0.005,4.80E-07,8.10E-08,9.10E-09,DPDES (table 2),Sea 1997,
CVD,CVD Si," (T=200°C, P=0.005bar)",,200,0.005,5.00E-07,3.30E-08,7.90E-09,DPDES (table 2),Sea 1997,
CVD,CVD Si," (T=400°C, P=0.005bar)",,400,0.005,5.51E-07,1.98E-08,1.04E-08,DPDES (figure 9),Sea 1997,
CVD,CVD Si," (T=50°C, P=0.01bar)",,50,0.01,4.32E-07,7.25E-08,9.24E-08,before heat treatment (figure 4),Sea 1998 1,
CVD,CVD Si," (T=200°C, P=0.01bar)",,200,0.01,4.04E-07,7.25E-08,9.24E-08,before heat treatment (figure 4),Sea 1998 1,
CVD,CVD Si," (T=400°C, P=0.01bar)",,400,0.01,3.78E-07,7.25E-08,9.24E-08,before heat treatment (figure 4),Sea 1998 1,
CVD,CVD Si," (T=50°C, P=0.005bar)",,50,0.005,1.66E-07,2.96E-08,3.90E-08,before heat treatment (figure 4),Sea 1998 1,
CVD,CVD Si," (T=200°C, P=0.005bar)",,200,0.005,1.54E-07,2.84E-08,3.74E-08,before heat treatment (figure 4),Sea 1998 1,
CVD,CVD Si," (T=400°C, P=0.005bar)",,400,0.005,1.40E-07,2.77E-08,3.57E-08,before heat treatment (figure 4),Sea 1998 1,
CVD,CVD Si," (T=50°C, P=0.002bar)",,50,0.002,5.48E-08,8.90E-09,1.27E-08,before heat treatment (figure 4),Sea 1998 1,
CVD,CVD Si," (T=200°C, P=0.002bar)",,200,0.002,5.48E-08,8.90E-09,1.27E-08,before heat treatment (figure 4),Sea 1998 1,
CVD,CVD Si," (T=400°C, P=0.002bar)",,400,0.002,5.48E-08,8.90E-09,1.27E-08,before heat treatment (figure 4),Sea 1998 1,
CVD,CVD Si," (T=50°C, P=0.002bar)",,50,0.002,4.12E-08,,9.46E-09,before heat treatment (figure 6a),Sea 1998 1,
CVD,CVD Si," (T=200°C, P=0.002bar)",,200,0.002,3.63E-08,,9.26E-09,before heat treatment (figure 6a),Sea 1998 1,
CVD,CVD Si," (T=400°C, P=0.002bar)",,400,0.002,3.55E-08,,8.44E-09,before heat treatment (figure 6a),Sea 1998 1,
CVD,CVD Si," (T=50°C, P=0.002bar)",,50,0.002,7.45E-08,,1.83E-08,after heat treatment (figure 6a),Sea 1998 1,
CVD,CVD Si," (T=200°C, P=0.002bar)",,200,0.002,6.42E-08,,1.69E-08,after heat treatment (figure 6a),Sea 1998 1,
CVD,CVD Si," (T=400°C, P=0.002bar)",,400,0.002,5.90E-08,,1.64E-08,after heat treatment (figure 6a),Sea 1998 1,
CVD,CVD Si," (T=50°C, P=0.005bar)",,50,0.005,1.18E-07,,2.78E-08,before heat treatment (figure 6b),Sea 1998 1,
CVD,CVD Si," (T=200°C, P=0.005bar)",,200,0.005,1.08E-07,,2.59E-08,before heat treatment (figure 6b),Sea 1998 1,
CVD,CVD Si," (T=400°C, P=0.005bar)",,400,0.005,9.52E-08,,2.39E-08,before heat treatment (figure 6b),Sea 1998 1,
CVD,CVD Si," (T=50°C, P=0.005bar)",,50,0.005,1.86E-07,,4.38E-08,after heat treatment (figure 6b),Sea 1998 1,
CVD,CVD Si," (T=200°C, P=0.005bar)",,200,0.005,1.66E-07,,4.12E-08,after heat treatment (figure 6b),Sea 1998 1,
CVD,CVD Si," (T=400°C, P=0.005bar)",,400,0.005,1.51E-07,,3.89E-08,after heat treatment (figure 6b),Sea 1998 1,
CVD,CVD Si," (T=50°C, P=0.01bar)",,50,0.01,4.18E-07,,9.47E-08,before heat treatment (figure 6c),Sea 1998 1,
CVD,CVD Si," (T=200°C, P=0.01bar)",,200,0.01,3.95E-07,,9.19E-08,before heat treatment (figure 6c),Sea 1998 1,
CVD,CVD Si," (T=400°C, P=0.01bar)",,400,0.01,3.81E-07,,8.99E-08,before heat treatment (figure 6c),Sea 1998 1,
CVD,CVD Si," (T=50°C, P=0.01bar)",,50,0.01,5.66E-07,,1.18E-07,after heat treatment (figure 6c),Sea 1998 1,
CVD,CVD Si," (T=200°C, P=0.01bar)",,200,0.01,5.46E-07,,1.25E-07,after heat treatment (figure 6c),Sea 1998 1,
CVD,CVD Si," (T=400°C, P=0.01bar)",,400,0.01,5.23E-07,,1.18E-07,after heat treatment (figure 6c),Sea 1998 1,
CVD,CVD Si,(T=250°C),,250,,5.50E-08,3.90E-08,8.28E-09,(table 1),Sea 2001,
CVD,CVD Si,(T=450°C),,450,,1.00E-07,4.00E-08,8.06E-09,(table 1),Sea 2001,
sol-gel,sol-gel Si,by dip coating (T=30°C),,30,,3.89E-07,2.08E-07,,with sublayer (figure 6),Tsai 2000,
sol-gel,sol-gel Si,by dip coating (T=60°C),,60,,5.88E-07,2.95E-07,,with sublayer (figure 6),Tsai 2000,
sol-gel,sol-gel Si,by dip coating (T=90°C),,90,,6.25E-07,3.09E-07,,with sublayer (figure 6),Tsai 2000,
sol-gel,sol-gel Si,by dip coating (T=120°C),,120,,6.68E-07,2.99E-07,,with sublayer (figure 6),Tsai 2000,
sol-gel,sol-gel Si,by dip coating (T=150°C),,150,,7.07E-07,2.94E-07,,with sublayer (figure 6),Tsai 2000,
sol-gel,sol-gel Si,by dip coating (T=30°C),,30,,1.24E-07,1.05E-07,,no sublayer (figure 6),Tsai 2000,
sol-gel,sol-gel Si,by dip coating (T=90°C),,90,,1.76E-07,1.21E-07,,no sublayer (figure 6),Tsai 2000,
sol-gel,sol-gel Si,by dip coating (T=150°C),,150,,1.81E-07,1.04E-07,,no sublayer (figure 6),Tsai 2000,
sol-gel,sol-gel Si,by dip coating (T=80°C),,80,,3.35E-07,6.42E-08,1.07E-09,(figure 12),Tsai 2000,
CVD,CVD Si," (T=700°C, t=1h)",1.00,700,,3.39E-08,,5.98E-09,Opposing 700C CVD (figure 2a),Tsapatsis 1991,
CVD,CVD Si," (T=700°C, t=2h)",2.00,700,,1.40E-08,,1.11E-10,Opposing 700C CVD (figure 2a),Tsapatsis 1991,
CVD,CVD Si," (T=700°C, t=2.5h)",2.50,700,,9.67E-09,,3.59E-11,Opposing 700C CVD (figure 2a),Tsapatsis 1991,
CVD,CVD Si," (T=700°C, t=3h)",3.00,700,,7.40E-09,,2.49E-11,Opposing 700C CVD (figure 2a),Tsapatsis 1991,
CVD,CVD Si," (T=700°C, t=4h)",4.00,700,,5.90E-09,,1.44E-11,Opposing 700C CVD (figure 2a),Tsapatsis 1991,
CVD,CVD Si," (T=700°C, t=4.5h)",4.50,700,,5.13E-09,,1.07E-11,Opposing 700C CVD (figure 2a),Tsapatsis 1991,
CVD,CVD Si," (T=800°C, t=0.5h)",0.50,800,,2.54E-08,,1.09E-08,Opposing 800C CVD (figure 2a),Tsapatsis 1991,
CVD,CVD Si," (T=800°C, t=1h)",1.00,800,,2.14E-08,,2.57E-11,Opposing 800C CVD (figure 2a),Tsapatsis 1991,
CVD,CVD Si," (T=800°C, t=1.5h)",1.50,800,,7.66E-09,,1.46E-11,Opposing 800C CVD (figure 2a),Tsapatsis 1991,
CVD,CVD Si," (T=400°C, t=0.16667h)",0.17,400,,4.77E-08,,1.31E-08,One-sided 400C CVD (figure 2b),Tsapatsis 1991,
CVD,CVD Si," (T=400°C, t=0.5h)",0.50,400,,4.03E-08,,1.10E-08,One-sided 400C CVD (figure 2b),Tsapatsis 1991,
CVD,CVD Si," (T=400°C, t=1h)",1.00,400,,2.27E-08,,7.27E-09,One-sided 400C CVD (figure 2b),Tsapatsis 1991,
CVD,CVD Si," (T=400°C, t=1.5833h)",1.58,400,,1.18E-08,,3.46E-10,One-sided 400C CVD (figure 2b),Tsapatsis 1991,
CVD,CVD Si," (T=400°C, t=1.8333h)",1.83,400,,8.79E-09,,2.30E-10,One-sided 400C CVD (figure 2b),Tsapatsis 1991,
CVD,CVD Si," (T=600°C, t=0.16667h)",0.17,600,,4.11E-08,,1.83E-10,One-sided 600C CVD (figure 2b),Tsapatsis 1991,
CVD,CVD Si," (T=600°C, t=0.33333h)",0.33,600,,4.03E-08,,6.59E-11,One-sided 600C CVD (figure 2b),Tsapatsis 1991,
CVD,CVD Si,(T=450°C),,450,,1.19E-09,,4.20E-14,(figure 4),Tsapatsis 1991,
CVD,CVD Si,(T=600°C),,600,,3.47E-09,,2.02E-13,(figure 4),Tsapatsis 1991,
CVD,CVD Si,(T=800°C),,800,,7.01E-09,,1.26E-12,(figure 4),Tsapatsis 1991,
CVD: opposing,CVD opposing," (T=450°C, t=3h)",3.00,450,,2.20E-09,,1.84E-12,S1 (table 1),Tsapatsis 1991,
CVD: opposing,CVD opposing," (T=700°C, t=3h)",3.00,700,,6.61E-09,,2.20E-11,S1 (table 1),Tsapatsis 1991,
CVD: opposing,CVD opposing," (T=450°C, t=1.5h)",1.50,450,,1.47E-09,,4.77E-08,S2 (table 1),Tsapatsis 1991,
CVD: opposing,CVD opposing," (T=800°C, t=1.5h)",1.50,800,,8.08E-09,,5.51E-07,S2 (table 1),Tsapatsis 1991,
CVD: one-sided,CVD one-sided," (T=450°C, t=0.41667h)",0.42,450,,6.61E-09,,5.87E-07,S3 (table 1),Tsapatsis 1991,
CVD: one-sided,CVD one-sided," (T=800°C, t=0.41667h)",0.42,800,,2.13E-08,,1.10E-05,S3 (table 1),Tsapatsis 1991,
CVD: one-sided,CVD one-sided," (T=450°C, t=0.16667h)",0.17,450,,2.06E-08,,5.14E-07,S4 (table 1),Tsapatsis 1991,
CVD: one-sided,CVD one-sided," (T=600°C, t=0.16667h)",0.17,600,,3.16E-08,,5.14E-06,S4 (table 1),Tsapatsis 1991,
CVD: one-sided,CVD one-sided," (T=450°C, t=1.5833h)",1.58,450,,5.87E-09,,3.67E-05,S5 (table 1),Tsapatsis 1991,
CVD: one-sided,CVD one-sided," (T=400°C, t=1.5833h)",1.58,400,,5.14E-09,,2.94E-05,S5 (table 1),Tsapatsis 1991,
CVD: one-sided,CVD one-sided," (T=450°C, t=0.91667h)",0.92,450,,2.57E-08,,3.67E-06,S6 (table 1),Tsapatsis 1991,
CVD: one-sided,CVD one-sided," (T=600°C, t=0.91667h)",0.92,600,,3.89E-08,,1.84E-05,S6 (table 1),Tsapatsis 1991,
sol-gel,sol-gel Si," by hydrothermal synthesis (T=200°C, P=2bar)",,200,2,7.31E-07,,1.16E-07,M0.6 (table 2),Tsuru 2001,
sol-gel,sol-gel Si," by hydrothermal synthesis (T=200°C, P=2bar)",,200,2,1.78E-06,,3.48E-07,M0.8 (table 2),Tsuru 2001,
sol-gel,sol-gel Si," by hydrothermal synthesis (T=200°C, P=2bar)",,200,2,7.80E-06,,2.05E-06,M1.2 (table 2),Tsuru 2001,
sol-gel,sol-gel Si," by hydrothermal synthesis (T=500°C, P=1bar)",,500,1,2.60E-07,,2.99E-09,M1 (table 4),Tsuru 2004 1,
sol-gel,sol-gel Si," by hydrothermal synthesis (T=500°C, P=1bar)",,500,1,5.60E-08,,1.00E-09,M2 (table 4),Tsuru 2004 1,
sol-gel,sol-gel Si," by hydrothermal synthesis (T=500°C, P=1bar)",,500,1,4.50E-08,,1.07E-09,M3 (table 4),Tsuru 2004 1,
sol-gel,sol-gel Si," by hydrothermal synthesis (T=500°C, P=1bar)",,500,1,2.00E-07,,2.90E-09,M1 after catalysis reaction (table 4),Tsuru 2004 1,
sol-gel,sol-gel Si," by hydrothermal synthesis (T=500°C, P=1bar)",,500,1,5.10E-08,,1.06E-09,M2 after catalysis reaction (table 4),Tsuru 2004 1,
sol-gel,sol-gel Si," by hydrothermal synthesis (T=200°C, P=1bar)",,200,1,1.26E-07,,1.29E-09,before HT treatment (figure 9),Tsuru 2004 1,
sol-gel,sol-gel Si," by hydrothermal synthesis (T=300°C, P=1bar)",,300,1,2.06E-07,,1.26E-09,before HT treatment (figure 9),Tsuru 2004 1,
sol-gel,sol-gel Si," by hydrothermal synthesis (T=400°C, P=1bar)",,400,1,3.05E-07,,1.18E-09,before HT treatment (figure 9),Tsuru 2004 1,
sol-gel,sol-gel Si," by hydrothermal synthesis (T=500°C, P=1bar)",,500,1,4.24E-07,,1.37E-09,before HT treatment (figure 9),Tsuru 2004 1,
sol-gel,sol-gel Si," by hydrothermal synthesis (T=200°C, P=1bar)",,200,1,2.19E-08,,9.72E-10,after HT treatment (figure 9),Tsuru 2004 1,
sol-gel,sol-gel Si," by hydrothermal synthesis (T=300°C, P=1bar)",,300,1,5.63E-08,,9.13E-10,after HT treatment (figure 9),Tsuru 2004 1,
