Category:,Brief Description:,Extended Description:,,,,Data: ,Data: ,Data: ,In Reference Data Location:,Reference Name:,Reference URL:
Category,Name,Description,CVD,Temp,Pres,H2,CO2,N2,,,
,,,hours,(°C),(bar),(mol/(sqm.s.Pa)),(mol/(sqm.s.Pa)),(mol/(sqm.s.Pa)),,,
sol-gel: Si-Co,sol-gel Si-Co," by dip coating on a-y-Al (T=50°C, P=-bar)",,50,-,3.80E-09,3.77E-10,3.72E-10,(figure 4),Diniz da Costa 2009,
sol-gel: Si-Co,sol-gel Si-Co," by dip coating on a-y-Al (T=100°C, P=-bar)",,100,-,7.99E-09,2.51E-10,3.59E-10,(figure 4),Diniz da Costa 2009,
sol-gel: Si-Co,sol-gel Si-Co," by dip coating on a-y-Al (T=150°C, P=-bar)",,150,-,1.63E-08,2.16E-10,2.06E-10,(figure 4),Diniz da Costa 2009,
sol-gel,sol-gel Si," by dip coating (T=300°C, P=3bar)",,300,3,6.48E-07,9.20E-09,,Si600 (table 2),de Vos 1998,
sol-gel,sol-gel Si," by dip coating (T=250°C, P=3bar)",,250,3,5.37E-07,1.00E-08,,Si600 (table 2),de Vos 1998,
sol-gel,sol-gel Si," by dip coating (T=200°C, P=3bar)",,200,3,4.12E-07,1.10E-08,,Si600 (table 2),de Vos 1998,
sol-gel,sol-gel Si," by dip coating (T=150°C, P=3bar)",,150,3,3.38E-07,1.30E-08,,Si600 (table 2),de Vos 1998,
sol-gel,sol-gel Si," by dip coating (T=100°C, P=3bar)",,100,3,2.60E-07,1.40E-08,,Si600 (table 2),de Vos 1998,
sol-gel,sol-gel Si," by dip coating (T=300°C, P=2.5bar)",,300,2.5,6.47E-07,7.80E-09,,Si600 (table 2),de Vos 1998,
sol-gel,sol-gel Si," by dip coating (T=250°C, P=2.5bar)",,250,2.5,5.40E-07,9.10E-09,,Si600 (table 2),de Vos 1998,
sol-gel,sol-gel Si," by dip coating (T=200°C, P=2.5bar)",,200,2.5,4.15E-07,9.70E-09,,Si600 (table 2),de Vos 1998,
sol-gel,sol-gel Si," by dip coating (T=150°C, P=2.5bar)",,150,2.5,3.37E-07,1.10E-08,,Si600 (table 2),de Vos 1998,
sol-gel,sol-gel Si," by dip coating (T=100°C, P=2.5bar)",,100,2.5,2.56E-07,1.30E-08,,Si600 (table 2),de Vos 1998,
sol-gel,sol-gel Si," by dip coating (T=300°C, P=2bar)",,300,2,6.41E-07,4.60E-09,,Si600 (table 2),de Vos 1998,
sol-gel,sol-gel Si," by dip coating (T=250°C, P=2bar)",,250,2,5.32E-07,6.50E-09,,Si600 (table 2),de Vos 1998,
sol-gel,sol-gel Si," by dip coating (T=200°C, P=2bar)",,200,2,4.03E-07,6.10E-09,,Si600 (table 2),de Vos 1998,
sol-gel,sol-gel Si," by dip coating (T=100°C, P=2bar)",,100,2,2.49E-07,9.40E-09,,Si600 (table 2),de Vos 1998,
sol-gel,sol-gel Si," by dip coating (T=25°C, P=0.5bar)",,25,0.5,7.33E-07,2.51E-07,,Si400 (table 2),de Vos 1998,
sol-gel,sol-gel Si," by dip coating (T=50°C, P=0.5bar)",,50,0.5,9.65E-07,2.94E-07,,Si400 (table 2),de Vos 1998,
sol-gel,sol-gel Si," by dip coating (T=100°C, P=0.5bar)",,100,0.5,1.27E-06,2.64E-07,,Si400 (table 2),de Vos 1998,
sol-gel,sol-gel Si," by dip coating (T=25°C, P=1bar)",,25,1,5.91E-07,2.28E-07,1.00E-08,Si400 (table 2),de Vos 1998,
sol-gel,sol-gel Si," by dip coating (T=50°C, P=1bar)",,50,1,8.19E-07,2.76E-07,1.50E-08,Si400 (table 2),de Vos 1998,
sol-gel,sol-gel Si," by dip coating (T=100°C, P=1bar)",,100,1,1.16E-06,2.91E-07,1.90E-08,Si400 (table 2),de Vos 1998,
sol-gel,sol-gel Si," by dip coating (T=150°C, P=1bar)",,150,1,1.67E-06,2.72E-07,2.20E-08,Si400 (table 2),de Vos 1998,
sol-gel,sol-gel Si," by dip coating (T=200°C, P=1bar)",,200,1,1.74E-06,2.31E-07,2.70E-08,Si400 (table 2),de Vos 1998,
sol-gel,sol-gel Si," by dip coating (T=25°C, P=1.5bar)",,25,1.5,5.31E-07,2.14E-07,1.00E-08,Si400 (table 2),de Vos 1998,
sol-gel,sol-gel Si," by dip coating (T=50°C, P=1.5bar)",,50,1.5,7.70E-07,2.65E-07,1.40E-08,Si400 (table 2),de Vos 1998,
sol-gel,sol-gel Si," by dip coating (T=100°C, P=1.5bar)",,100,1.5,1.15E-06,3.07E-07,,Si400 (table 2),de Vos 1998,
